Latitute,Lognigtute,TimeStamp
-31.9774266625,115.81717882616667,04:49:47
-31.977426413666667,115.81717811533333,04:49:48
-31.97742659,115.81717907633333,04:49:49
-31.9774267645,115.8171794225,04:49:50
-31.977426891,115.81717962366666,04:49:51
-31.977427006833334,115.8171799015,04:49:52
-31.977427194166665,115.81718027933333,04:49:53
-31.977427353833335,115.81718049383333,04:49:54
-31.9774275735,115.817180647,04:49:55
-31.977427702,115.81718072883334,04:49:56
-31.977427875666667,115.81718084183333,04:49:57
-31.977428019833333,115.81718099983334,04:49:58
-31.977428175666667,115.8171811175,04:49:59
-31.977428366833333,115.81718117533333,04:50:00
-31.977428562666667,115.81718131766667,04:50:01
-31.977428678166667,115.81718140816666,04:50:02
-31.977428853166668,115.81718145883333,04:50:03
-31.977429006666668,115.8171815105,04:50:04
-31.977429090833333,115.8171814965,04:50:05
-31.9774292045,115.81718144283333,04:50:06
-31.977429303,115.8171813525,04:50:07
-31.977429393333335,115.817181306,04:50:08
-31.977429544666666,115.81718130916667,04:50:09
-31.977429619666665,115.81718120416667,04:50:10
-31.9774298125,115.817181201,04:50:11
-31.977429981333334,115.81718129666666,04:50:12
-31.977430068333334,115.81718162416666,04:50:13
-31.977430203666668,115.81718160566666,04:50:14
-31.9774302465,115.81718167166666,04:50:15
-31.977430309,115.81718180966666,04:50:16
-31.977430417833332,115.81718198266667,04:50:17
-31.977430399,115.81718223366667,04:50:18
-31.977430395666666,115.81718206383333,04:50:19
-31.977430225,115.81718176583334,04:50:20
-31.977430097,115.81718143216666,04:50:21
-31.977429952333335,115.81718092633334,04:50:22
-31.977429746833334,115.81718052066667,04:50:23
-31.977429593166665,115.81718003966667,04:50:24
-31.977422149333332,115.817163391,04:50:25
-31.977410083333332,115.81713552866667,04:50:26
-31.977402027666667,115.8171172765,04:50:27
-31.977398642,115.8171097555,04:50:28
-31.977397621666668,115.81710717183333,04:50:29
